VMName,Host,vCPUs,RAM,Storage,Used,Available,VM Installed On,OS
FDM-WEB-0.48,C2-BLD03-CXS-23,2,4,100,21,72,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
RCCL-SURFES-1.205,C2-BLD04-CXS-24,3,4,70,18,46,Install Date: Tue 19 Sep 2017, CentOS release 6.2 (Final)
ITD-TESTADClient-,,0,4,50,,,,
DSN-R2API-2.76,C2-BLD13-CXS-33,6,18,166,,,, Red Hat Enterprise Linux Server release 6.8 (Santiago)
RCCL-IBE-1.172,C2-BLD04-CXS-24,1,8,50,4.7,41,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
TBXSURF-WEB-3.58,C2-BLD08-CXS-28,2,8,40,32,4.2,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
EDN-APP-1.153,C2-BLD04-CXS-24,2,8,100,70,19,Install Date: Mon 13 Feb 2017,
DSN-EXO-1.175,,8,8,200,,,, CentOS release 6.2 (Final)
KUONI-B2BB2C-4.60,C2-BLD14-CXS-34,2,8,50,14,29,Install Date: Thu 24 Jan 2019, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-JENKINS-2.28,C2-BLD14-CXS-34,6,16,220,,,, CentOS release 6.2 (Final)
VH-APP-3.57,C2-BLD08-CXS-28,4,12,150,79,60,Install Date: Tue 14 Jun 2016,
DSN-DLPAPP-2.254,C2-BLD12-CXS-32,4,8,80,7.4,63,Install Date: Mon 01 Oct 2018, Red Hat Enterprise Linux Server release 7.4 (Maipo)
DSN-DBNEW-2.3,C2-BLD08-CXS-28,8,16,500,215,253,Install Date: Mon 11 Jun 2018,
DSN-SANDBOXSGT-1.56,C2-BLD04-CXS-24,6,8,750,630,68,Install Date: Wed 29 Nov 2017, Red Hat Enterprise Linux Server release 6.3 (Santiago)
RCCL-JENKINS-2.186,C2-BLD10-CXS-30,6,8,255,113,122,Install Date: Fri 13 May 2016, CentOS release 6.2 (Final)
RCCL-SURF-1.189,C2-BLD08-CXS-28,3,8,50,15,30,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-R2API-2.205,C2-BLD12-CXS-32,6,16,166,106,28,Install Date: Thu 25 Aug 2016, Red Hat Enterprise Linux Server release 6.8 (Santiago)
TBXSURF-WEB-2.22,C2-BLD13-CXS-33,2,8,30,15,12,Install Date: Tue 17 Oct 2017, Red Hat Enterprise Linux Server release 6.3 (Santiago)
Control domain on host: C2-BLD03-CXS-23,C2-BLD03-CXS-23,0,4,0,,,,
RND-ELASTICSEARCH-4-2.144,C2-BLD02-CXS-22,2,8,150,,,, Ubuntu 14.04.3 LTS
TA-V4APP-2.145,C2-BLD08-CXS-28,6,22,120,78,31,Install Date: Wed 23 Mar 2016, Red Hat Enterprise Linux Server release 6.6 (Santiago)
SUPTravelBox-TEST-32Bit,C2-BLD04-CXS-24,4,4,30,,,,
TBX-RESTAPI-2.176,,4,12,100,,,, Red Hat Enterprise Linux Server release 6.3 (Santiago)
SUPP-TEST12CTEMP-1.16,,0,4,50,,,,
TA-APP-1.165,,0,10,100,,,, Red Hat Enterprise Linux Server release 6.6 (Santiago)
RCCL-UATAPP-1.183,C2-BLD14-CXS-34,4,14,100,27,63,Install Date: Thu 29 Jun 2017, Red Hat Enterprise Linux Server release 6.3 (Santiago)
TBX-MAVENREPO-2.110,C2-BLD03-CXS-23,6,10,400,335,34,Install Date: Tue 19 Jan 2016, CentOS release 6.2 (Final)
MTG-DB-2.194,C2-BLD03-CXS-23,2,8,250,225,0,Install Date: Fri 13 May 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
EDN-APP-1.152,C2-BLD13-CXS-33,2,12,100,20,69,Install Date: Mon 13 Feb 2017,
EK-APP-2.126,C2-BLD03-CXS-23,6,12,100,13,70,,
